Phylum,Class,Order,Family,Genus,Species,aphiaID,species_filter,method
Annelida,Polychaeta,Eunicida,Dorvilleidae,Marycarmenia,Marycarmenia gaspeensis,333982,marycarmenia gaspeensis,traditional
Annelida,Polychaeta,NA,Capitellidae,Mediomastus,Mediomastus ambiseta,157482,mediomastus ambiseta,traditional
Annelida,Polychaeta,Phyllodocida,Nephtyidae,Micronephthys,Micronephthys neotena,130349,micronephthys neotena,traditional
Annelida,Polychaeta,Phyllodocida,Microphthalmidae,Microphthalmus,NA,129313,microphthalmus,traditional
Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys caeca,130355,nephtys caeca,traditional
Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,NA,129379,nereis,traditional
Annelida,Polychaeta,NA,Opheliidae,Ophelia,NA,129413,ophelia,traditional
Annelida,Polychaeta,NA,Opheliidae,Ophelina,Ophelina acuminata,130500,ophelina acuminata,traditional
Annelida,Polychaeta,Phyllodocida,Syllidae,Parexogone,Parexogone hebes,757970,parexogone hebes,traditional
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce maculata,334510,phyllodoce maculata,traditional
Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,NA,129381,platynereis,traditional
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio steenstrupi,131164,prionospio steenstrupi,traditional
Annelida,Polychaeta,Spionida,Spionidae,Pygospio,Pygospio elegans,131170,pygospio elegans,traditional
Annelida,Polychaeta,NA,Maldanidae,Sabaco,Sabaco elongatus,157550,sabaco elongatus,traditional
Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,Scoletoma fragilis,130261,scoletoma fragilis,traditional
Annelida,Polychaeta,NA,Orbiniidae,Scoloplos,NA,129425,scoloplos,traditional
Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodoridium,Sphaerodoridium minutum,155127,sphaerodoridium minutum,traditional
Annelida,Polychaeta,Spionida,Spionidae,Spio,Spio filicornis,131183,spio filicornis,traditional
Annelida,Polychaeta,Spionida,Spionidae,Spio,Spio setosa,157573,spio setosa,traditional
