#,Per phyla,Phylum,Class,Species,Total reads,CAB,CON,FAI,FRK,MOS,PLS,RSE,TAE,TAW,WRK,ASB,CHB,LIN,MIR,CHT,NOR,ESB,Decision,Removal Justification
47,10,Arthropoda,Malacostraca,Gammarus_mucronatus,92,0,0,0,0,0,0,0,0,0,0,0,4,79,0,0,4,5,,
48,11,Arthropoda,Malacostraca,Gammarus_oceanicus,89,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,32,0,,
49,12,Arthropoda,Malacostraca,Homarus_americanus,41,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,,
50,13,Arthropoda,Malacostraca,Jaera_albifrons,80,0,15,0,0,0,0,0,0,35,0,0,0,0,0,0,30,0,,
51,14,Arthropoda,Malacostraca,Jassa_marmorata,59,0,0,0,11,0,14,0,0,32,0,0,2,0,0,0,0,0,,
52,15,Arthropoda,Malacostraca,Monocorophium_acherusicum,165,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,,
53,16,Arthropoda,Malacostraca,Monocorophium_insidiosum,271,0,11,0,98,0,19,10,0,90,0,0,0,34,0,0,9,0,,
54,17,Arthropoda,Malacostraca,Mysis_gaspensis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
55,18,Arthropoda,Malacostraca,Orchestia_grillus,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,,
56,19,Arthropoda,Malacostraca,Pagurus_acadianus,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,
57,20,Arthropoda,Malacostraca,Pagurus_longicarpus,39,0,0,0,0,0,0,0,0,24,0,0,15,0,0,0,0,0,,
58,21,Arthropoda,Thecostraca,Amphibalanus_improvisus,13932,0,0,0,0,0,0,0,0,0,0,0,17,2,2380,502,2108,8923,,
59,22,Arthropoda,Thecostraca,Balanus_crenatus,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,
60,23,Arthropoda,Thecostraca,Semibalanus_balanoides,156,11,37,0,0,0,70,0,0,38,0,0,0,0,0,0,0,0,,
61,1,Bryozoa,Gymnolaemata,Amathia_gracilis,13,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,,
62,2,Bryozoa,Gymnolaemata,Conopeum_tenuissimum,127,0,0,0,0,0,0,0,0,0,0,0,0,42,36,0,0,49,,
63,3,Bryozoa,Gymnolaemata,Crisularia_turrita,21,0,0,10,0,0,0,0,0,0,0,2,9,0,0,0,0,0,,
64,4,Bryozoa,Gymnolaemata,Flustrellidra_hispida,29,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,,
65,5,Bryozoa,Gymnolaemata,Juxtacribrilina_mutabilis,8679,520,0,53,509,15,26,184,0,5169,0,5,0,2186,0,12,0,0,,
66,6,Bryozoa,Gymnolaemata,Membranipora_membranacea,2287,797,14,80,910,0,10,0,0,125,0,130,6,135,80,0,0,0,,
67,1,Chordata,Ascidiacea,Botrylloides_violaceus,80,0,0,0,46,0,0,12,0,0,0,0,10,9,0,3,0,0,,
68,1,Cnidaria,Anthozoa,Metridium_senile,42,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,4,0,,
69,2,Cnidaria,Hydrozoa,Bougainvillia_muscus,22767,0,12,90,91,18,0,0,0,466,0,22032,14,3,0,0,41,0,,
70,3,Cnidaria,Hydrozoa,Clava_multicornis,816,61,23,53,0,0,0,14,0,665,0,0,0,0,0,0,0,0,,
71,4,Cnidaria,Hydrozoa,Clytia_hemisphaerica,59,12,0,0,36,0,0,0,0,11,0,0,0,0,0,0,0,0,,
72,5,Cnidaria,Hydrozoa,Dynamena_pumila,4773,115,313,81,174,0,142,136,0,3292,0,0,520,0,0,0,0,0,,
73,6,Cnidaria,Hydrozoa,Gonionemus_vertens,59,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,,
74,7,Cnidaria,Hydrozoa,Gonothyraea_loveni,16566,0,0,13,0,0,0,0,0,181,0,0,356,0,16008,0,8,0,,
75,8,Cnidaria,Hydrozoa,Hybocodon_prolifer,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,
76,9,Cnidaria,Hydrozoa,Hydractinia_echinata,133,0,0,0,68,0,0,0,0,19,0,0,46,0,0,0,0,0,,
77,10,Cnidaria,Hydrozoa,Laomedea_flexuosa,706,11,86,109,0,0,0,19,0,442,0,0,39,0,0,0,0,0,,
78,11,Cnidaria,Hydrozoa,Obelia_bidentata,43,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,,
79,12,Cnidaria,Hydrozoa,Obelia_dichotoma,310,0,0,0,0,0,0,0,0,0,0,0,54,113,110,33,0,0,,
80,13,Cnidaria,Hydrozoa,Obelia_geniculata,511,0,0,0,10,0,13,0,15,435,38,0,0,0,0,0,0,0,,
81,14,Cnidaria,Hydrozoa,Obelia_longissima,442,0,13,10,0,0,0,0,0,96,74,0,57,189,0,3,0,0,,
82,15,Cnidaria,Hydrozoa,Sarsia_tubulosa,237,0,0,0,0,0,0,0,0,183,0,0,0,54,0,0,0,0,,
83,16,Cnidaria,Scyphozoa,Aurelia_aurita,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,
84,17,Cnidaria,Scyphozoa,Cyanea_capillata,41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,,
85,18,Cnidaria,Staurozoa,Craterolophus_convolvulus,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,,
86,19,Cnidaria,Staurozoa,Haliclystus_tenuis,14,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,,
87,1,Echinodermata,Asteroidea,Asterias_forbesi,335,0,10,0,50,0,0,0,0,256,16,3,0,0,0,0,0,0,,
88,2,Echinodermata,Asteroidea,Asterias_rubens,8442,19,67,0,26,0,0,0,8184,130,16,0,0,0,0,0,0,0,,
89,3,Echinodermata,Echinoidea,Echinarachnius_parma,310,11,268,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,
90,4,Echinodermata,Echinoidea,Strongylocentrotus_droebachiensis,101,59,0,0,15,0,13,0,0,0,14,0,0,0,0,0,0,0,,
91,5,Echinodermata,Ophiuroidea,Amphipholis_squamata,53,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,,
92,6,Echinodermata,Ophiuroidea,Ophiopholis_aculeata,344,322,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,
93,1,Mollusca,Bivalvia,Ameritella_agilis,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,
94,2,Mollusca,Bivalvia,Crassostrea_virginica,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,,
95,3,Mollusca,Bivalvia,Gemma_gemma,55,0,0,0,0,0,0,0,0,0,0,0,10,45,0,0,0,0,,
96,4,Mollusca,Bivalvia,Geukensia_demissa,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,,
97,5,Mollusca,Bivalvia,Limecola_petalum,27,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,4,,
